seed,round,treatment,metric,count,mean,std,standard_error,ci_low,ci_high,file
43,100,team,partner_gain,1000,0.08108115130662918,0.4240070785371264,0.013408281122112143,0.054800920307289384,0.10736138230596898,seed43_round100_task_vs_team_1000.json
43,100,team,opponent_gain,1000,0.08736029478907585,0.4004677020948662,0.01266390067953561,0.06253904945718605,0.11218154012096565,seed43_round100_task_vs_team_1000.json
43,100,team,secrecy_difference,1000,-0.00627914348244667,0.3478053913539993,0.010998572191648725,-0.02783634497807817,0.015278058013184829,seed43_round100_task_vs_team_1000.json
43,120,daps,partner_gain,1000,-0.007295323610305786,0.4777783141601966,0.015108676893816994,-0.03690833032218709,0.022317683101575524,seed43_round120_task_vs_daps_1000.json
43,120,daps,opponent_gain,1000,-0.014827564686536789,0.4627982846908964,0.014634966768422674,-0.04351209955264523,0.01385697017957165,seed43_round120_task_vs_daps_1000.json
43,120,daps,secrecy_difference,1000,0.007532241076231003,0.3519310798520459,0.01112903791735059,-0.014280673241776152,0.029345155394238157,seed43_round120_task_vs_daps_1000.json
43,120,dual,partner_gain,1000,-0.012980139344930648,0.4614120330612559,0.014591129642824831,-0.04157875344486732,0.01561847475500602,seed43_round120_task_vs_dual_1000.json
43,120,dual,opponent_gain,1000,-0.028551113337278364,0.45345275957018416,0.014339435315304967,-0.056656406555276095,-0.00044582011928063006,seed43_round120_task_vs_dual_1000.json
43,120,dual,secrecy_difference,1000,0.015570973992347718,0.32276224398105213,0.010206638336870971,-0.004434037147919385,0.03557598513261482,seed43_round120_task_vs_dual_1000.json
43,120,team,partner_gain,1000,0.12419434675574302,0.4540891822140395,0.014359560766395857,0.09604960765360715,0.1523390858578789,seed43_round120_task_vs_team_1000.json
43,120,team,opponent_gain,1000,0.12140550109744072,0.4299238206634604,0.013595384936582975,0.09475854662173809,0.14805245557314334,seed43_round120_task_vs_team_1000.json
43,120,team,secrecy_difference,1000,0.002788845658302307,0.33109060362616893,0.010470004193386978,-0.01773236256073617,0.023310053877340784,seed43_round120_task_vs_team_1000.json
44,100,daps,partner_gain,1000,-0.008563024669885635,0.44849389300111425,0.014182622185593711,-0.03636096415364931,0.019234914813878037,seed44_round100_task_vs_daps_1000.json
44,100,daps,opponent_gain,1000,-0.014170062988996505,0.43041776936485776,0.013611004966019956,-0.04084763272239562,0.012507506744402609,seed44_round100_task_vs_daps_1000.json
44,100,daps,secrecy_difference,1000,0.0056070383191108705,0.33224903291250396,0.010506636943917598,-0.01498597009096762,0.026200046729189363,seed44_round100_task_vs_daps_1000.json
44,100,dual,partner_gain,1000,-0.018017763912677766,0.4453847329259757,0.01408430191111873,-0.04562299565847047,0.009587467833114944,seed44_round100_task_vs_dual_1000.json
44,100,dual,opponent_gain,1000,-0.02428703898191452,0.4288029484408773,0.013559939844689197,-0.050864521077505345,0.0022904431136763076,seed44_round100_task_vs_dual_1000.json
44,100,dual,secrecy_difference,1000,0.006269275099039078,0.3300490297766245,0.010437066736228679,-0.014187375703969132,0.026725925902047285,seed44_round100_task_vs_dual_1000.json
44,100,team,partner_gain,1000,0.0886295758485794,0.4138508796222559,0.013087113912704932,0.06297883257967773,0.11428031911748107,seed44_round100_task_vs_team_1000.json
44,100,team,opponent_gain,1000,0.0688514928817749,0.398402555437716,0.012598595008146836,0.0441582466658071,0.0935447390977427,seed44_round100_task_vs_team_1000.json
44,100,team,secrecy_difference,1000,0.019778082966804503,0.3239897075510978,0.01024545414313323,-0.00030300715373662856,0.039859173087345635,seed44_round100_task_vs_team_1000.json
44,120,daps,partner_gain,1000,-0.004009602129459381,0.46674286405305176,0.014759705320379726,-0.032938624557403644,0.02491942029848488,seed44_round120_task_vs_daps_1000.json
44,120,daps,opponent_gain,1000,0.0025022478997707366,0.4228065668938343,0.013370317610608596,-0.023703574617022112,0.028708070416563584,seed44_round120_task_vs_daps_1000.json
44,120,daps,secrecy_difference,1000,-0.006511850029230118,0.3414203544161788,0.010796659594970528,-0.02767330283537235,0.014649602776912116,seed44_round120_task_vs_daps_1000.json
44,120,dual,partner_gain,1000,-0.005785417050123215,0.48105286293591554,0.01521222721822287,-0.03560138239784004,0.02403054829759361,seed44_round120_task_vs_dual_1000.json
44,120,dual,opponent_gain,1000,-0.009947249919176102,0.45215447404625614,0.014298379922216591,-0.03797207456672062,0.018077574728368417,seed44_round120_task_vs_dual_1000.json
44,120,dual,secrecy_difference,1000,0.00416183289885521,0.341511154704958,0.01079953095221796,-0.01700524776749199,0.02532891356520241,seed44_round120_task_vs_dual_1000.json
44,120,team,partner_gain,1000,0.1060763168334961,0.45737384626201516,0.014463430963796573,0.0777279921444548,0.13442464152253739,seed44_round120_task_vs_team_1000.json
44,120,team,opponent_gain,1000,0.09154416331648826,0.44141230957045385,0.013958682854779752,0.06418514492111996,0.11890318171185657,seed44_round120_task_vs_team_1000.json
44,120,team,secrecy_difference,1000,0.014532153517007828,0.3333895624894801,0.010542703655937928,-0.006131545648630509,0.03519585268264616,seed44_round120_task_vs_team_1000.json
