file,model,receiver_time,ece_10_bin,bin_low,bin_high,count,mean_confidence,empirical_frequency
seed42_round100_task_vs_dual_1000.json,A,opponent_before,0.013878611457008425,0.5,0.6000000000000001,7464,0.5424549107830113,0.5045551982851019
seed42_round100_task_vs_dual_1000.json,A,opponent_before,0.013878611457008425,0.6000000000000001,0.7000000000000001,3213,0.6423977903773619,0.6025521319638967
seed42_round100_task_vs_dual_1000.json,A,opponent_before,0.013878611457008425,0.7000000000000001,0.8,1327,0.7432138999333127,0.6774679728711379
seed42_round100_task_vs_dual_1000.json,A,opponent_before,0.013878611457008425,0.8,0.9,740,0.8474518610013498,0.7054054054054054
seed42_round100_task_vs_dual_1000.json,A,opponent_before,0.013878611457008425,0.9,1.0,577,0.9453717106549744,0.8024263431542461
seed42_round100_task_vs_dual_1000.json,A,opponent_after,0.004893160523716776,0.0,0.1,243852,0.014619703178655056,0.017580335613404854
seed42_round100_task_vs_dual_1000.json,A,opponent_after,0.004893160523716776,0.1,0.2,51835,0.15173509478428168,0.1628822224365776
seed42_round100_task_vs_dual_1000.json,A,opponent_after,0.004893160523716776,0.2,0.30000000000000004,72923,0.25386016058888794,0.25928719334092126
seed42_round100_task_vs_dual_1000.json,A,opponent_after,0.004893160523716776,0.30000000000000004,0.4,76880,0.34336118988700515,0.34300208116545267
seed42_round100_task_vs_dual_1000.json,A,opponent_after,0.004893160523716776,0.4,0.5,26339,0.44153292946416484,0.43232468962375187
seed42_round100_task_vs_dual_1000.json,A,opponent_after,0.004893160523716776,0.5,0.6000000000000001,10918,0.5435350425111481,0.5371862978567503
seed42_round100_task_vs_dual_1000.json,A,opponent_after,0.004893160523716776,0.6000000000000001,0.7000000000000001,5012,0.6432306456475475,0.6322825219473264
seed42_round100_task_vs_dual_1000.json,A,opponent_after,0.004893160523716776,0.7000000000000001,0.8,2377,0.7436139997083899,0.6979385780395456
seed42_round100_task_vs_dual_1000.json,A,opponent_after,0.004893160523716776,0.8,0.9,1200,0.8465618220965068,0.7333333333333333
seed42_round100_task_vs_dual_1000.json,A,opponent_after,0.004893160523716776,0.9,1.0,760,0.9481649312533831,0.8513157894736842
seed42_round100_task_vs_dual_1000.json,B,partner_before,0.012034922647729021,0.0,0.1,243930,0.015557048474775808,0.02520395195342926
seed42_round100_task_vs_dual_1000.json,B,partner_before,0.012034922647729021,0.1,0.2,50068,0.15049389068070307,0.16429655668291124
seed42_round100_task_vs_dual_1000.json,B,partner_before,0.012034922647729021,0.2,0.30000000000000004,71268,0.2551490892747884,0.26455070999607116
seed42_round100_task_vs_dual_1000.json,B,partner_before,0.012034922647729021,0.30000000000000004,0.4,86829,0.34285982474836596,0.3352105863248454
seed42_round100_task_vs_dual_1000.json,B,partner_before,0.012034922647729021,0.4,0.5,25099,0.44086409194202814,0.4094187019403163
seed42_round100_task_vs_dual_1000.json,B,partner_before,0.012034922647729021,0.5,0.6000000000000001,9530,0.5435296478764333,0.510283315844701
seed42_round100_task_vs_dual_1000.json,B,partner_before,0.012034922647729021,0.6000000000000001,0.7000000000000001,4215,0.642830238379052,0.5890865954922895
seed42_round100_task_vs_dual_1000.json,B,partner_before,0.012034922647729021,0.7000000000000001,0.8,1849,0.7430739281563065,0.6803677663601947
seed42_round100_task_vs_dual_1000.json,B,partner_before,0.012034922647729021,0.8,0.9,825,0.8451246819351659,0.7781818181818182
seed42_round100_task_vs_dual_1000.json,B,partner_before,0.012034922647729021,0.9,1.0,499,0.9466168843433709,0.8176352705410822
seed42_round100_task_vs_dual_1000.json,B,partner_after,0.008241600193593532,0.0,0.1,248357,0.013851020216161157,0.01914179990900196
seed42_round100_task_vs_dual_1000.json,B,partner_after,0.008241600193593532,0.1,0.2,46823,0.1503947421859369,0.1578924887341691
seed42_round100_task_vs_dual_1000.json,B,partner_after,0.008241600193593532,0.2,0.30000000000000004,64938,0.25520565817700236,0.25214820290122886
seed42_round100_task_vs_dual_1000.json,B,partner_after,0.008241600193593532,0.30000000000000004,0.4,79293,0.34341634423276957,0.33229919412810716
seed42_round100_task_vs_dual_1000.json,B,partner_after,0.008241600193593532,0.4,0.5,29668,0.4423989994624433,0.42166644195766484
seed42_round100_task_vs_dual_1000.json,B,partner_after,0.008241600193593532,0.5,0.6000000000000001,13374,0.5440723106735256,0.5296096904441454
seed42_round100_task_vs_dual_1000.json,B,partner_after,0.008241600193593532,0.6000000000000001,0.7000000000000001,6483,0.6439132630300985,0.6105198210704921
